Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
2019-06-04,94.01,94.12,93.06,93.8,414230809.4,4426410,66.75,1.06,90.82857142857142,92.67106769287535,0.0,0.0,0.3500000000000004,0.4300000000000007,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-05,94.14,94.14,92.2,92.64,331674291.6,3568370,55.4,1.94,90.90761904761905,92.66485415430029,1.0,1.0,-0.1033333333333341,-0.34499999999999886,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-06,93.37,93.93,92.64,93.69,424023058.1,4547740,61.99,1.29,90.98285714285714,92.86988332344023,0.0,0.0,-0.1033333333333341,-0.34499999999999886,0.0,4.6875000000001,0.0,0.0,0.0,0.0
2019-06-07,94.02,94.78,93.64,94.22,313650322.5,3326560,64.93,1.14,91.11857142857143,93.13990665875218,1.0,0.0,0.3200000000000003,-0.34499999999999886,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-10,93.85,94.3,93.25,93.85,252469150.3,2693110,61.21,1.05,91.26380952380953,93.28192532700174,0.0,1.0,0.3200000000000003,0.34999999999999903,0.0,0.0,0.0,0.0,0.0,1.0
2019-06-11,94.45,95.44,94.3,95.42,482130399.9,5078590,69.53,1.59,91.60238095238097,93.7095402616014,0.0,0.0,0.3200000000000003,0.34999999999999903,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-12,95.3,95.66,94.25,94.66,359600926.3,3780420,62.26,1.41,91.88333333333334,93.89963220928112,0.0,1.0,0.3200000000000003,0.5,1.515624999999997,0.0,0.0,0.0,0.0,0.0
2019-06-13,95.06,95.77,94.94,95.14,478488855.9,5022060,64.87,1.11,92.22952380952383,94.14770576742491,1.0,0.0,0.24749999999999872,0.5,0.0,0.0,0.0,0.0,0.0,1.0
2019-06-14,95.09,95.38,94.0,94.51,356963771.4,3777540,58.85,1.38,92.60809523809525,94.22016461393993,0.0,1.0,0.24749999999999872,-0.125,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-17,94.24,94.85,94.08,94.25,386254110.9,4085940,56.43,0.77,92.96571428571431,94.22613169115195,0.0,0.0,0.24749999999999872,-0.125,0.0,0.0,0.0,0.0,0.0,0.0
